FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
    Loans in Domestic Offices	13.36	6.23	99	13.99	6.37	99	13.81	6.40	99	13.72	6.25	99	14.47	6.13	99	
       Real Estate	6.64	5.97	81	6.49	6.07	72	7.31	6.07	91	7.05	5.92	90	6.60	5.79	83	
          Secured by 1-4 Fam Resi Prop	7.66	5.96	92	7.06	6.07	80	7.50	6.09	85	6.74	5.91	78	7.48	5.80	91	
          All Other Loans Sec Real Estate	6.47	6.01	72	6.38	6.10	63	7.27	6.11	88	7.11	5.94	89	6.44	5.83	75	
       Commercial & Industrial	9.84	7.22	95	10.60	7.50	95	10.30	7.62	93	10.03	7.53	92	9.51	7.37	92	
       Individual	12.93	7.60	96	13.54	7.70	96	13.53	7.81	95	14.47	7.53	97	14.85	7.35	97	
          Credit Card	22.76	10.09	93	23.62	9.79	93	22.10	10.80	89	21.43	10.70	89	24.77	10.98	91	
       Agricultural	N/A	6.69	N/A	N/A	7.09	N/A	N/A	6.95	N/A	N/A	6.96	N/A	N/A	6.86	N/A	
    Loans in Foreign Offices	N/A	9.13	N/A	N/A	9.33	N/A	N/A	9.60	N/A	N/A	9.45	N/A	N/A	8.81	N/A	
 Total Investment Securities (TE)	4.63	3.05	92	4.53	2.99	92	4.72	2.96	92	4.36	2.92	89	4.34	2.83	89	
 Total Investment Securities (Book)	4.60	2.94	93	4.49	2.89	92	4.67	2.86	92	4.30	2.81	90	4.27	2.73	90	
    US Treas & Agency (Excl MBS)	4.57	2.51	93	4.45	2.55	89	4.64	2.57	88	4.22	2.53	84	4.01	2.42	84	
    Mortgage Backed Securities	4.80	3.06	90	4.81	2.97	91	5.01	2.92	91	6.52	2.86	98	3.43	2.74	75	
    All Other Securities	3.86	2.99	78	3.57	3.00	72	3.86	3.04	77	1.58	3.03	5	5.83	2.98	94	
 Interest-Bearing Bank Balances	4.41	4.15	78	4.80	4.73	49	5.38	5.12	61	4.27	5.34	10	5.36	5.02	64	
 Federal Funds Sold & Resales	N/A	3.53	N/A	N/A	3.94	N/A	N/A	4.55	N/A	N/A	4.41	N/A	N/A	4.38	N/A	

 Total Interest Bearing Deposits	1.43	2.67	5	1.75	2.86	7	1.51	2.99	4	1.56	2.89	6	0.84	2.77	1	
    Transaction accounts	3.41	1.58	92	5.43	1.65	98	3.90	1.78	90	3.97	1.76	92	1.71	1.71	52	
    Other Savings Deposits	0.88	2.02	11	1.29	2.14	23	1.33	2.30	22	1.07	2.24	15	0.89	2.14	12	
    Time Deposits	0.37	4.02	0	0.39	4.31	0	0.39	4.41	0	0.42	4.31	0	0.27	4.16	0	
    Foreign Office Deposits	N/A	2.39	N/A	N/A	2.32	N/A	N/A	2.71	N/A	N/A	2.26	N/A	N/A	2.09	N/A	

 Federal Funds Purchased & Repos	N/A	2.41	N/A	N/A	2.26	N/A	N/A	2.86	N/A	N/A	2.63	N/A	N/A	2.76	N/A	
 Other Borrowed Money	N/A	4.05	N/A	N/A	4.25	N/A	N/A	4.64	N/A	N/A	4.43	N/A	N/A	4.42	N/A	
 Subord Notes & Debentures	N/A	0.00	N/A	N/A	3.92	N/A	N/A	4.24	N/A	N/A	3.92	N/A	N/A	3.92	N/A	
 Other Interest Expense	0.00	3.78	5	3.85	4.06	28	5.36	4.53	78	4.60	4.45	47	5.28	4.50	77	
 All Interest-Bearing Funds	1.43	2.73	4	1.76	2.93	6	1.54	3.08	3	1.59	2.99	5	0.95	2.88	1	

 Memo: Interest on Time Dep Over Ins Limit	1.25	4.10	0	1.25	4.30	2	1.25	4.45	1	2.85	4.38	5	3.33	4.27	11	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Securitization & Asset Sale-a
OCC Charter # 0			County: JACKSON			Securitization & Asset Sale Activities--Page 13						7/23/2025 12:03:21 PM
Public Report
																Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		1 Quarter	1 Year
 Securitization Activities		0			0			0			0			0		N/A	N/A	
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Auto Loans		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 Unused Liquidity Commitments		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 Sellers Interest in Secs & Loans		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 Total Retained Credit Exposure		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 Asset Backed Comml Paper Conduits		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    CR Exp Spons by Bank & Other		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Liquid Comm by Bank & Other		N/A			N/A			N/A			N/A			N/A		N/A	N/A	


 Activity % Total Assets																		
 Securitization Activities		0.00			0.00			0.00			0.00			0.00				
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
    Asset Backed Comml Paper Conduits		N/A			N/A			N/A			N/A			N/A				
    Cr Exp Spons by Bank & Other		N/A			N/A			N/A			N/A			N/A				
    Liquid Comm by Bank & Other		N/A			N/A			N/A			N/A			N/A				

 Percent of Tot Managed Assets on																		
 Balance Sheet & Sec Assets																		
    1-4 Family Residential Loans		3.81			4.49			4.44			4.36			3.31				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Securitization & Asset Sale-b
OCC Charter # 0			County: JACKSON			Securitization & Asset Sale Activities--Page 13A						7/23/2025 12:03:22 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 % Tot Securitization Act by Type																		
 Unused Comm to Provide Liquidity		N/A			N/A			N/A			N/A			N/A				
 Sellers Int in Secs & LNS % Trust		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				

 Percent of Tier 1 Capital																		
 Total Retained Credit Exposure		N/A			N/A			N/A			N/A			N/A				

 30-89 Day PD Securitized Assets																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 30-89 Day PD Secur Assets		N/A			N/A			N/A			N/A			N/A				

 90+ Days PD Securitized Assets																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 90+ Days PD Secur Assets		N/A			N/A			N/A			N/A			N/A				

 Total Past Due Securitized Assets		N/A			N/A			N/A			N/A			N/A				

 Net Losses Securitized Assets																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total Net Charge Off Secur Asset		N/A			N/A			N/A			N/A			N/A				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Securitization & Asset Sale-c
OCC Charter # 0			County: JACKSON			Securitization & Asset Sale Activities--Page 13B						7/23/2025 12:03:22 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 30-89 Day PD Securitized Assets %																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 30-89 Days PD Secur Asset		N/A			N/A			N/A			N/A			N/A				

 90+ Day PD Securitized Assets %																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 90+ Day PD Secur Asset		N/A			N/A			N/A			N/A			N/A				

 Total PD Securitized Asets %		N/A			N/A			N/A			N/A			N/A				

 Net Losses on Securitized Assets%																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Auto Loans		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Net Losses on Securitized Assets		N/A			N/A			N/A			N/A			N/A				

 30-89 DAY PD managed assets %																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 30-89 Day PD Manage Asset		N/A			N/A			N/A			N/A			N/A				

 90+ DAY PD MANAGED ASSETS %																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Total 90+ Day PD Manage Asset		N/A			N/A			N/A			N/A			N/A				

 Total Past Due Managed Assets %		N/A			N/A			N/A			N/A			N/A				

 Net Losses on Managed Assets %																		
    1-4 Family Residential Loans		N/A			N/A			N/A			N/A			N/A				
    Home Equity Lines		N/A			N/A			N/A			N/A			N/A				
    Credit Card Receivables		N/A			N/A			N/A			N/A			N/A				
    Commercial & Industrial Loans		N/A			N/A			N/A			N/A			N/A				
    All Other Loans and Leases		N/A			N/A			N/A			N/A			N/A				
       Net Losses on Managed Assets		N/A			N/A			N/A			N/A			N/A				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Fiduciary Services-a
OCC Charter # 0			County: JACKSON			Fiduciary & Related Services--Page 1						7/23/2025 12:03:23 PM
Public Report
		3/31/2025			12/31/2024			12/31/2023		3/31/2025
 Total Fiduciary and Related Assets	'($000)'	%Total	%MGD	'($000)'	%Total	%MGD	'($000)'	%Total	%MGD	%Change
 Personal Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Employee Benefit DC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Employee Benefit DB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Other EB & Retirement-Related	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Corporate Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Inv Mgmt & Inv Advisory Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Foundation & Endowment Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Other Fiduciary	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
    Total Fiduciary Assets	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Custody and Safekeeping	N/A	N/A		N/A	N/A		N/A	N/A		N/A
 Memo: Accts in Foreign Offices	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Memo: IRA, HSA & Other	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A

 Total Fiduciary and Related Accounts	(#)	%Total	%MGD	(#)	%Total	%MGD	(#)	%Total	%MGD	%Change
 Personal Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Employee Benefit DC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Employee Benefit DB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Other EB & Retirement-Related	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Corporate Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Inv Mgmt & Inv Advisory Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Foundation & Endowment Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Other Fiduciary	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
    Total Number of Accounts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Custody and Safekeeping	N/A	N/A		N/A	N/A		N/A	N/A		N/A
 Memo: Accts in Foreign Offices	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Memo: IRA, HSA & Other	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A

 Fiduciary and Related Services Income	'($000)'	%FID IN	%Change	'($000)'	%FID IN	%Change	'($000)'	%FID IN	%Change
 Personal Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Employee Benefit DC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Employee Benefit DB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Other EB & Retirement-Related	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Corporate Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Inv Mgmt & Inv Advisory Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Foundation & Endowment Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Other Fiduciary	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Custody and Safekeeping	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Other Related Services	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
    Gross Fiduciary and Related Income	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Less: Expenses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Less:Net Losses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Plus: Intra-company Credits	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
    Net Fiduciary and Related Income	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Memo: Fiduciary Income - Foreign	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Gross Fiduciary Income % Nonint Inc		N/A			N/A			N/A		

 Fiduciary Income % Fiduciary Assets	Bank		PCT		Bank		PCT		Bank		PCT
 Personal Trust and Agency	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Employee Benefit DC	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Employee Benefit DB	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Other EB & Retirement-Related	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Corporate Trust and Agency	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Inv Mgmt & Inv Advisory Agency	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Other Fiduciary	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
    Total Fiduciary Assets	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Custody and Safekeeping	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		
 Memo: Fiduciary Income Foreign	N/A	N/A	N/A		N/A	N/A	N/A		N/A	N/A	N/A		

 Collective/Common Trust Fund Assets	'($000)'	%Total	%Change		'($000)'	%Total	%Change		'($000)'	%Total	%Change
 Domestic Equity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 International/Global Equity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Stock/Bond Blend	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Taxable Bond	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Municipal Bond	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Short Term/Money Market	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Specialty/Other	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
    Total Trust Funds	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	

 Collective/Common Trust Fund Accounts	(#)	%Total	%Change		(#)	%Total	%Change		(#)	%Total	%Change
 Domestic Equity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 International/Global Equity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Stock/Bond Blend	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Taxable Bond	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Municipal Bond	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Short Term/Money Market	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
 Specialty/Other	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
    Total Trust Funds	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Fiduciary Services-b
OCC Charter # 0			County: JACKSON			Fiduciary & Related Services--Page 1A						7/23/2025 12:03:23 PM
Public Report
		3/31/2025				12/31/2024				12/31/2023			
 Gross Fiduciary Losses - Managed	'($000)'	%Rev		PCT	'($000)'	%Rev		PCT	'($000)'	%Rev		PCT
 Personal Trust and Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 EB & Retirement Related Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Inv Mgmt & Inv Advisory Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 Other Fiduciary	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
    Total Gross Managed Losses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A

 Gross Fiduciary Losses - Non Managed
 Personal Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 EB & Retirement Related Trust & Agency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
